	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
0	0.47113207	1.8550014	-1.3409175	1.5268297	-0.6765267	-0.59884274	-0.076438494	0.8012335	-2.763659	-1.4278772	-0.26339695	1.107385	-1.1101238	-1.4219167	-0.12328506	3.0920162	2.6072345	-1.0199156	-0.7477665	1.1524034	-0.36356762	-1.2223921	-0.3987583	2.161187	-0.3654349	-0.91743803	0.63543147	2.44697	-1.4587672	-0.31055957	-0.4443914	-1.2672874
1	0.3395145	-1.0031897	0.87639827	0.6401765	0.26680636	-0.31943733	0.5311149	1.7540853	1.923569	-1.1725773	0.47218043	-2.202815	0.3821961	0.89733446	1.7362581	-1.9140536	-0.6506905	0.2441658	-0.31850946	-0.082806006	2.1935189	0.27901295	0.73621845	0.30465037	0.25344774	-0.43015823	-0.84767175	-1.2204243	1.4757676	0.767611	-0.5203072	-0.9140298
2	0.7523306	0.68601674	0.558353	-0.09374713	1.6310508	-0.7515377	0.4888	-0.19417013	0.81483305	0.9578819	-0.05349406	-1.3762461	-0.050034713	1.0474929	1.1300044	-2.785849	-1.7992456	-0.08311778	-0.48412013	-0.5068498	2.1944013	0.48243752	0.45801464	2.4594858	-0.91204333	-1.7649924	0.024712384	-0.3247401	0.8687779	0.7994754	0.18731117	-0.85160595
3	-2.5065086	-1.044018	-0.267596	-0.868948	-0.6262504	-0.7534003	-1.304091	-2.1448655	-1.8795013	1.8418821	0.075330876	1.4493465	0.65672773	-0.7600346	-2.398516	-1.0762137	0.9371558	-0.5642315	-0.4354039	-0.06456272	-2.4365473	-0.48215175	1.9626653	-0.5227526	-1.565851	1.0701543	1.7591662	-1.609085	-2.3519294	-0.6719006	1.9403522	0.4179387
4	1.2863959	1.6827403	-1.3752367	-1.5233656	0.6019657	-0.019526295	0.32191804	-1.1708686	1.1915996	0.2243433	0.64654225	-0.2949539	2.6980176	-0.69602835	-1.2453848	0.540355	2.149296	-0.8789601	0.43475726	0.40392813	0.020627506	1.037173	1.4211199	-0.15663578	-0.37577555	-0.6472461	0.07733317	1.8423667	-1.690612	0.61421496	2.1870682	1.3041657
5	0.20549895	-1.5764991	1.0669637	0.29289678	-0.34147313	0.13322337	0.39042494	-1.088512	0.19472153	-0.2766816	0.6738573	1.1030167	-2.540965	-1.0930351	0.14103961	0.5451822	2.3440208	-0.9063834	-0.66360015	0.4280672	1.2813509	-0.8693066	-1.5432181	3.4274924	0.57811165	-0.8965202	2.2149143	-0.8781005	-0.7325097	-1.5896399	-0.37569353	-0.29843086
6	-0.925828	0.9123097	0.5098208	2.3758786	0.21684065	-0.6905673	-0.37925935	0.95418006	-2.1985414	1.133017	-0.014572182	-0.44386148	1.5929667	0.1175076	0.19690727	0.22439249	1.416382	-0.92734784	-0.42102006	0.29959598	-2.4786103	-0.13798231	1.6671832	-1.9891291	0.030059816	1.6394286	1.7816138	2.04638	-0.5591538	0.50588834	1.3899338	-0.56496865
7	-2.3922267	-2.897985	0.23080283	0.048669953	-1.0870805	0.58529615	1.6087676	-1.0319954	-0.65846276	1.9497265	1.3860584	-0.8766076	-0.029282607	0.618651	-1.5390155	0.16901726	-0.7049945	-0.69173205	-0.045549534	1.0698653	0.5792762	0.51593983	-0.60172385	1.1462327	-0.55334675	-1.0256071	-2.5193558	-1.7261078	1.6289546	0.4594455	1.5882462	0.30849138
8	0.14138438	-2.4480593	-1.2543315	2.8952718	1.5248309	-0.2577237	-0.54024	1.460514	3.0850306	-0.8093522	0.8772761	0.26639134	-2.863855	0.9292985	0.28507203	-2.0791416	1.7452307	0.2498441	0.7328698	-1.002208	-0.9309045	0.61690927	1.5531257	-1.4625179	1.2143725	-0.058506653	1.3905574	-0.5757687	-0.5024398	1.3874958	-0.9973987	0.37260053
9	1.1539458	-0.3291484	1.4475408	1.6706494	1.5230706	-0.903521	0.80265665	0.38939738	1.1586996	0.92514783	-0.64639133	0.012317249	-0.4611235	-0.12498651	1.8054886	0.9705263	1.8116174	-0.9691967	-0.9902141	-0.12569125	0.4301822	-0.21496569	-1.1987772	2.269872	0.1186289	0.37864703	2.4118922	-0.69945264	-0.8854044	-0.82228965	-2.4680893	0.33720198
