	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63
0	-0.5814387	-1.3383007	2.2162833	1.8067304	-0.06425622	0.18939681	-0.45978218	-0.6225154	-2.846484	0.073041655	0.51551306	0.385816	1.411568	-0.15875742	0.6301478	-0.62986785	0.5139514	-0.28898937	-1.8484335	0.30293924	-0.4324542	1.6811267	0.41178715	-0.18318143	-0.21496029	0.12362916	0.5669445	-1.8063481	1.9495386	0.06657415	0.50763774	0.25961167	-0.49116182	-0.22476293	0.7079549	0.1193283	-0.92131305	0.8635012	-0.14772367	-1.2237675	0.051838823	0.6058997	-0.073758684	0.22388782	0.84238124	-0.39658266	0.6839741	0.5476391	-0.1360205	-0.6318267	-1.5616738	-0.17343	-0.11451693	-1.9331459	-0.0512843	0.33131966	-0.21605521	0.16714883	0.20854968	1.4062784	-0.32451865	0.39869305	-0.2564049	1.2198688
1	0.69224006	-0.26955822	0.01901744	0.80044144	0.4021147	-0.4054226	-0.21543582	1.3045219	1.2316058	0.51548064	-1.3858569	0.18412384	0.5827651	-1.0887802	-0.055140387	-0.5467635	-2.3077292	0.56149286	0.5869599	0.3324413	-0.85091835	-1.406424	1.2649194	0.3682338	0.15920371	1.038781	-0.7274864	1.8037902	-0.92443746	-0.0260544	0.41098416	-0.37745538	-0.46455696	1.8386842	1.0844513	0.33273193	1.2027422	1.1086845	-0.46666846	0.39787683	0.76578194	-0.24010223	-0.5048318	-0.89641076	0.55691683	-0.33735925	-1.2931257	0.40101945	-0.30728224	0.24342364	-0.35511658	0.6289158	0.88936263	0.24952012	-0.3062243	1.1715107	-1.086854	-1.1996456	1.1612765	0.90613943	1.4673736	-0.75605524	-0.5503447	-0.8959385
2	0.17295039	-2.827242	-0.4412197	-1.734543	0.25590783	-1.5830927	-0.09244149	0.45543042	1.7285411	0.8324033	-0.0034769943	-0.75347334	-1.1403389	-0.23156497	-0.52575964	-0.38495097	-1.9948124	0.30762535	-0.14093634	0.2503787	-0.87769336	0.9163675	-0.34606802	-0.078090735	0.21074606	1.2724516	-0.093329616	1.6014692	0.58930105	0.41557014	0.2925273	0.6132649	-0.10690241	-2.0001225	0.10547587	0.68207026	0.1319125	-0.9811269	0.62423813	1.6645339	0.040602814	0.26270017	0.2559123	-0.4249719	0.44537896	0.6556762	-1.8785478	-0.89402306	0.050139066	0.16095419	0.34822258	-0.55240196	-0.46222898	0.18394996	-0.2644992	0.027557956	2.5158546	-0.027644627	-0.22833839	-0.4573879	0.35640422	-1.1701571	0.5080414	0.30731675
3	1.373005	-0.76441246	-0.22320999	1.8343021	1.228965	0.34812775	-0.8117309	-0.3163606	1.4628185	-0.65765154	-0.58982575	1.2828612	0.53420657	-0.45314088	-0.25306517	0.74537057	-1.5478035	0.095910974	-0.17532487	1.189785	-0.5219298	-1.3766237	1.3681493	0.6256863	0.28476295	0.5076487	-0.914922	2.5576687	0.1930896	-0.068290375	0.4264087	0.78950953	-0.9590851	0.9800656	1.5477409	-0.54899234	1.8299636	1.5656067	0.22906914	-0.26443094	0.47963443	-0.046872564	1.3975075	-0.30257434	0.43709582	0.6196255	-0.16696027	-0.34742948	-0.64614326	0.57208586	0.5698224	0.4392878	0.5290383	0.40518615	0.3385558	1.511879	-0.10180396	-0.47318184	0.3695206	1.0866596	0.9905809	-0.56837976	-0.13029534	-2.3685102
4	0.6074374	1.4890641	1.4638076	-0.23397581	0.42195967	-0.75886387	0.08521038	1.857509	-1.2749624	-0.8492894	-1.0728945	0.041806836	0.87113243	0.60421693	0.107875794	0.2874708	-1.7962192	0.5450334	2.2502987	-0.53579235	1.0752552	-1.1788892	0.4537542	-0.6786926	-0.49045187	-1.3563201	1.0834405	-1.080685	-1.4730092	0.22125255	0.5875066	0.6140951	-0.81875765	-0.22897586	1.4414775	0.9916008	-1.7900773	0.7355673	-0.13692464	0.72960305	0.10354404	0.75540924	0.95629567	-0.91267747	0.24142422	-1.0938792	0.61244744	1.105075	0.41391894	-0.58201087	-0.3935346	0.8315904	-0.37913364	0.8808829	-0.3110315	0.81994873	-0.78600633	0.6667007	-0.66104096	2.089119	2.587501	-0.8020536	0.250091	-1.3963817
5	-0.074113876	0.09530141	0.12079898	0.7821973	0.076637626	-0.3267157	0.07627611	1.0290983	1.2156082	-0.057045545	0.31653795	0.34105805	0.33598596	1.4832196	0.36123303	0.48401666	-0.32268238	-0.10890168	-2.3902235	0.63018423	-0.5159025	-0.36500016	0.065722585	-0.26817778	0.3673624	0.41477218	0.47839722	2.4181762	1.284918	0.21172275	-0.43835467	0.061353937	0.17857824	-0.951391	2.1415918	0.0036239044	0.022657914	-0.28826633	-0.3249001	1.939314	0.70442	-0.5297639	-0.9396987	-0.27398542	1.9374639	0.026144804	0.56117404	0.7233194	-0.050495997	-0.3102905	-1.2090466	0.29662642	0.12968832	-2.05591	-0.2811119	0.5326712	-0.9414349	-0.14600617	0.7030057	1.9044288	-1.8532474	-0.6593388	0.32099083	-1.0886306
6	-0.2089248	-0.820026	-1.3697565	0.5924283	0.26421303	0.4470823	-0.8702151	-0.6126946	1.0316058	-0.43690926	0.18531364	0.56621015	-0.016520547	-1.4972557	-0.0068534478	0.31141964	0.9525812	0.05068979	-1.2349184	0.79040915	1.361445	0.20036522	0.31771556	0.6791556	-0.022451311	0.7936099	-0.5875172	-0.6801627	-0.39406982	-0.2931097	0.072847106	0.19131921	0.20107055	1.3246332	-0.28772253	-0.96129423	1.095272	-0.08881638	-0.0646227	-0.21317725	0.37581164	-0.37630728	0.7034908	0.3631841	-1.3849853	0.036367174	-0.51994056	-0.112147644	-0.0047348165	0.97014385	-0.39707214	0.17407537	0.05148776	0.8449713	0.38643646	-0.31765434	-3.0615003	-0.7468821	-0.116883904	-1.08609	-0.36260194	-0.41201627	0.49034172	0.4437554
7	0.09249012	2.0258265	2.501195	0.3961045	-0.38422313	-1.5096328	-1.4210405	-0.079717375	0.059875853	1.0194253	-0.16069062	0.2551617	-0.09495124	0.016421396	0.556523	0.09837736	-1.8011839	0.26226395	0.8440115	-0.5828632	-0.985823	-1.9743241	0.29435202	-0.45208848	0.22755295	-0.8706266	0.8632445	0.16003409	-1.0442506	-0.037894677	-0.7720627	-0.6305413	-0.5977924	1.097503	1.8356235	0.34438422	-0.24266025	0.78400135	0.20120594	0.47757584	0.41496027	0.04924734	-0.66246384	-0.7210538	-0.8943549	0.14761555	0.123104	-0.03573819	0.08336314	-0.14549027	-2.4716187	0.80425525	0.20160024	0.9928567	-0.9134407	-0.23503922	-1.6729255	0.30742642	0.61017346	0.4961509	-0.21026225	0.23350374	-0.1240991	0.43216687
8	0.48635077	1.614353	0.2802711	-1.3726883	-0.38753477	-0.48449162	-0.73689073	-0.9804138	-1.3097856	1.0501833	0.17376347	-0.17811511	-1.5951643	0.3719727	0.20851405	-0.04507417	-1.57029	0.47765377	-0.17507005	0.019794932	1.0796703	-0.26950055	-0.084826425	0.12337786	0.7196478	-0.50455403	1.5136938	-0.8139298	0.58932644	0.36644027	-0.7446726	-0.5066432	-0.4472381	-1.5892757	-0.01589255	0.56845075	-0.25209406	0.22943664	-0.4195635	-0.19470556	0.39927408	-0.9060899	-1.2149134	-0.37763837	1.5594655	0.3054137	-0.6180976	-1.1331931	0.64328516	0.20920385	-0.1999	0.06871918	0.038467824	0.34611765	-1.2261989	0.13411736	1.0495397	0.8382078	0.4469402	1.2261766	-0.26467294	-0.11471796	0.33215317	0.23844874
9	-0.18656707	1.1847607	2.458688	0.82911813	0.786062	1.396192	0.81935614	1.6653169	-0.29495203	-0.2157596	0.7206309	-0.12562549	-0.041681323	1.8008909	-0.21836962	-0.42489028	0.7543876	-0.71581167	-0.22299895	0.05356912	-2.6992986	2.4285772	0.12942219	0.029280422	-0.13402876	-1.5016475	1.2364116	0.26502582	0.21600054	-0.4023911	0.050847065	0.5247147	-0.46379814	-0.41726026	1.1915708	-0.29851967	-0.23566146	1.1192577	0.053202517	1.584913	0.015039341	-0.57170177	0.26201415	-0.18219927	0.5676533	-0.88994086	0.16940285	1.1343755	0.18973857	-0.44593263	0.18812218	-0.050474606	-0.04676219	0.6124412	0.17775488	0.4003548	-0.74754936	-0.05139069	-0.0012596623	-0.10593532	-1.8980905	0.6636655	0.018248746	-0.030401649
10	0.5438366	0.106029645	2.6671557	0.5152297	0.6828283	-0.21682106	-0.5793484	0.061349347	0.72446316	0.25750417	0.646394	-0.04691406	0.7034714	1.6886703	-0.4530085	0.9643752	-1.2973602	-0.07901631	0.3065217	0.74386907	-0.32893702	-0.41586962	-0.25779876	-0.62131864	0.18301462	-1.4502257	-1.3365393	2.659761	-1.4848975	-0.32054973	-0.07963551	0.16029303	0.12177207	-0.13556623	2.2944226	-0.29050222	-0.6674107	0.77890664	0.12013618	-0.7165915	-0.5020531	0.14683479	0.8208743	0.18925743	-1.5653096	0.3497383	1.0288653	2.2425747	0.07552638	-0.5315729	-1.015286	0.2302407	-0.9379841	1.4781773	-0.040802803	0.200598	-1.5435665	1.0539154	-0.6056492	0.44017437	0.8807772	0.800225	-0.3133347	-1.3929945
11	0.48458543	-1.2873472	0.38559496	-0.41677317	0.20660922	-0.39107493	0.11320095	-0.61181706	1.1067303	-0.59603816	-0.011069869	0.27081668	-0.7986175	-2.7237937	-0.44964296	-0.15575153	0.25139943	-0.11956125	-1.4762183	0.7952625	0.33818293	-0.0847775	-0.06912534	0.81258595	0.34536096	0.86391616	-1.5185741	-0.426097	-1.6344912	-0.20616801	0.64951956	0.37296736	0.3736234	0.76878536	-0.59999585	-0.90233666	1.406608	0.45225903	-0.004225371	-0.68641996	0.41987965	0.077451125	1.3182387	0.62505704	-1.7722666	0.70471305	-1.2365721	0.29728204	0.2678013	1.1493982	0.6701705	-0.6619168	-0.25532606	2.016472	0.8940068	-0.8819409	-1.2989577	-0.67196566	-0.72648835	-1.6287473	-0.11363948	-0.6724791	0.4132008	0.9545039
12	0.5112414	-0.97083855	-0.3558728	0.51920474	0.17651984	-1.796308	0.20312937	-0.48063666	-0.16487753	0.6249235	-0.663773	-0.29894108	-0.22411203	-1.9989349	-0.002797437	-0.751302	-0.9967326	0.10237993	-0.103004634	-0.5512758	-1.0400829	-1.3714815	-0.20087646	0.27807382	0.08603601	0.7064124	-1.44546	0.17270741	-1.43105	0.09809295	0.58870924	-0.38063407	0.49900016	3.1678946	-0.07710208	-0.13825455	1.5628896	0.43582013	-0.10036958	0.44248608	0.3889348	0.34514818	-0.65409446	-0.35273093	-1.5540373	0.37031245	-1.1525599	0.75106764	0.20116128	0.7298617	0.022438506	-0.37946734	0.16889003	0.47047195	0.6011479	-0.9140389	-1.9514827	-0.3232644	0.7306026	-0.44069737	1.2075821	0.4768045	-0.03350296	0.8654924
