	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63
0	-1.8776007	-0.15777369	3.32733	0.9388916	0.9187976	-3.573519	3.3826208	1.6354581	-1.1436815	0.9388811	-1.9426087	-1.3654245	-0.2945237	-0.959779	-2.0505905	0.89918417	-2.4499683	-2.093287	2.575727	-0.21565682	-1.3673378	-1.2430009	1.8997474	0.36087584	1.7794902	-1.953883	1.0162834	0.5572801	1.1578137	0.56867075	3.3981884	1.4498781	-1.1321876	0.6342618	1.7200755	2.102016	-1.9442071	4.564302	-3.041356	-1.8174168	-2.8274775	-0.35270962	1.9861774	-3.6237555	1.0286942	3.1440113	0.8521545	1.3326513	0.1350736	-0.18280467	2.555052	1.5639081	-1.3285099	-4.196223	-0.9965186	-1.0938383	-1.3304534	1.30568	-1.6268771	-2.0658958	0.4121872	0.335403	-3.2670076	1.4229014
1	-1.8615757	0.58823705	1.68473	3.889949	-0.9051371	-1.7211403	1.5413839	0.16057701	-2.1981757	1.1580209	-0.53098696	1.375702	-0.12560189	-3.33774	-4.453657	1.3426113	-0.48184323	-0.20190397	-0.11893146	-0.17202017	1.7562184	2.8474715	1.1289241	-1.2094152	2.383207	0.76010174	1.1461581	0.8123687	0.9033541	0.9910428	1.2031091	0.32363057	-1.1536885	0.8201542	-0.17153223	-0.9122096	1.4823164	2.815416	-3.4776018	0.45376426	0.9615315	-1.2986723	1.0913367	-2.6035385	0.9232725	3.0095966	-0.39775825	1.7759278	1.6726128	-0.56317145	2.6755877	1.4538591	-2.37069	-1.6540483	-1.2604712	0.9079285	-3.041174	0.37002242	-1.9533511	-1.7522644	-0.82500476	-1.591405	-4.6817927	0.94648045
2	-0.17318161	-4.398839	-0.79360634	0.835318	0.2989222	-2.360556	-0.584451	-0.12160778	-0.43922386	0.046480242	-1.0703336	-0.86655056	0.27129307	2.4388943	0.69882095	-3.466083	-0.21171181	-2.3048394	1.7946179	1.9465814	-0.13914165	-0.8265101	-2.1222272	0.62056094	0.33897588	-1.7822161	-0.5994136	-0.547624	1.0514365	-1.3018461	1.9410352	-0.47940245	2.3900034	-0.53475034	1.3023236	-2.8079898	-1.3191272	-0.77245075	1.0171075	1.7011993	-1.9366233	-2.1286907	-1.2604043	-2.7859411	-0.15901321	-3.2045028	-0.12614362	-1.0644485	-0.6799041	1.074615	-0.57964903	-1.2947452	-1.6202136	-2.2677104	-0.45224243	-0.1067127	2.2461662	-0.5236174	-0.59150654	0.9527447	-2.4931564	-1.1295902	2.2635014	0.19417782
3	1.3010792	-2.9505348	-0.39687222	-0.84583986	-1.2862093	2.4332433	-2.310936	-0.49228188	2.0493886	-0.7591502	-1.4549127	-1.2639825	1.6969354	1.4485245	-1.3237282	0.75702477	1.2577515	-1.3420533	-1.2922626	-2.7024138	2.2386348	0.97570926	-1.1180594	3.4392967	1.0902573	-0.574502	1.2760531	-1.6939751	-1.6724018	3.6111214	-0.793778	-3.000725	-0.39074185	2.3298893	0.08928749	-1.963527	0.7514877	-0.3453418	0.17769514	-2.0232677	3.8826497	2.8663542	-2.263308	2.990225	1.1009157	-1.152889	-0.82216495	3.8569102	0.38656938	1.1867088	-0.95705074	-0.010486757	1.5010326	0.32721737	0.8852562	-1.5907592	-2.4515479	2.9984732	-0.44525456	0.3433115	-0.8567026	-2.0346768	2.0416427	1.4999433
4	-0.38902828	2.446112	2.3176737	-1.479126	2.4905608	-2.273872	2.8628414	1.6883124	-1.7366545	0.039538447	-1.03076	1.4411798	-0.14627491	-2.2025824	-1.8718737	1.1262691	-2.53788	3.758181	-0.76894224	-2.142874	-1.8279747	1.0343819	1.1981225	0.120602034	3.6564589	1.3364798	2.5852926	1.5065658	-1.256237	-2.947647	0.9124531	0.44239035	0.6064582	1.1784385	2.3671594	1.1112123	-0.33438876	3.173039	-3.7933445	-1.9176931	-1.1465144	-3.3414626	0.98758537	-0.8949218	-3.0780416	2.8513758	0.47849983	-0.96130395	-1.5286456	0.20814604	1.0132614	2.7238197	-0.7306956	-1.9895378	-0.4854157	0.92530733	-1.9287896	2.0475502	-1.4093821	-3.1482651	-0.60151255	2.045651	-3.70405	-2.562161
5	0.9314547	-1.8251885	-0.10999637	-1.0020208	-1.3791797	-1.9012293	3.228206	1.4745295	1.372448	0.39419225	-1.8369821	0.04466198	-0.28872085	2.3758287	-0.28188434	-0.062524766	1.5603114	1.1154	1.8288635	0.10846391	2.3746066	-1.5687063	1.9984317	0.3535067	2.5362291	-1.6072448	1.0237899	-0.35738483	2.4780052	-1.2401967	3.2081444	1.610796	-1.8873892	0.9738581	2.4303038	1.698494	0.6264879	3.830423	-3.8486702	-0.15703802	-3.0450983	2.2336826	0.67103076	-1.1440728	-1.4877539	2.5178387	-0.21797167	-0.05668908	0.85224754	0.17881843	2.182277	-1.5363252	-3.6616225	-2.303596	-3.2587347	1.80305	-1.6071539	0.81484693	-2.737508	-0.6167682	-0.040218234	1.5667164	-1.3160548	-2.1543863
6	-2.9294178	0.44301915	1.4891847	-2.0340946	0.3018981	-1.5387131	3.2703826	-2.1979058	-1.9266979	1.0297185	0.14279184	-2.839419	-1.827725	0.6663013	-2.2184796	-1.5547148	-0.31198698	-0.06138246	0.92457783	1.3677692	-1.0404799	-1.8269887	2.8322043	2.5135796	2.1401424	0.2598776	-0.9970568	1.3973303	1.5122179	-1.7477373	2.0070994	0.66767824	-0.56741685	0.5810277	2.5251858	1.2830719	-2.6308856	-1.523499	-2.9496882	-0.29855457	-4.7487907	-2.3215253	-0.17624208	-2.0990374	1.2232041	1.046376	1.2435794	-0.12231752	-1.8598617	-1.6840597	-0.19408369	-0.74494606	1.7066604	-3.5240355	-0.30066565	1.4047116	-1.6392453	-3.0529935	-2.2702782	-0.6084449	-0.9937073	2.7409894	1.5371702	2.4454043
7	-2.6749763	-0.32104397	-0.31365994	1.503498	1.3889183	1.3588102	-0.6133516	-0.25006527	-0.95476955	-0.3371939	2.7920735	2.7598872	-0.094591446	-1.2008287	-0.50518626	-0.77886	-1.8607066	1.5202252	-2.2427335	-0.216809	-1.0515287	2.558176	-0.44961232	1.1049479	1.256578	-0.69534475	0.802581	1.0960838	-2.9438252	-1.8317915	-1.2565224	-2.0562315	0.054565027	0.633273	0.30630073	-2.7906725	-2.638546	-2.8232663	-0.27036846	1.5071552	2.8728676	-0.03024938	-1.1823543	0.86535907	0.50101846	-2.4999857	-0.99447095	-3.2794905	-3.0816789	1.1969069	-0.24393857	1.9947053	4.1960616	-0.09020526	2.1433032	0.9948192	1.1444203	2.008591	2.869942	0.45048818	2.2009432	2.5757248	0.59408355	1.3524756
8	-2.578531	2.915645	1.7927294	-2.5436018	2.1513402	0.68492645	0.82913435	-2.2282987	-0.19731443	-0.7102235	1.8475261	-2.1078777	0.028453976	-1.0260969	-3.3861337	2.5681913	-2.2141726	0.3015327	-0.6030659	-2.340203	-0.8116926	1.71847	2.1647234	2.3719115	4.067637	-1.0290726	0.11642931	1.2789226	-1.9629724	2.2397301	2.1273873	-0.27347675	-2.0246048	1.61023	-1.2473373	0.93426937	-1.2569655	1.4382979	-2.8365111	-2.486555	-1.6128429	-3.1192958	0.82948226	0.86204153	1.5293143	0.93176335	1.5804688	2.5218258	-1.9308523	-0.13855188	2.4334273	1.0745777	2.9915764	-0.33677205	1.9818126	-1.9386786	-1.2747277	1.6459234	1.1929048	-1.8559607	-1.1567986	2.7117598	-3.0740187	2.9605913
9	1.3829062	0.16862431	-1.7180853	-1.7440356	-1.8468446	1.1948836	-0.25615865	-0.750129	-4.5314846	-2.6810498	-0.17379309	-2.9021463	2.3811867	1.4553597	-1.836895	2.494333	0.9649341	0.26246703	0.4609463	-0.32037795	-1.6025525	1.8226495	0.50368893	-0.7399732	-2.2547069	-0.24149553	0.21043706	-3.0913796	0.3670765	2.3414247	-0.2299696	-1.8466567	1.7989843	-1.8065505	1.0111141	-2.3437533	-1.1544564	-3.335856	0.1572812	0.9942046	0.0337485	-0.22130066	-2.206632	3.2036269	2.2486343	-0.60683197	3.349598	0.091541745	0.3605043	1.4583533	-0.053693023	1.5052364	3.7677295	0.02635584	2.1370385	-0.57088065	-0.8414202	-0.123767205	1.8468446	-1.278585	-2.1076658	2.4956524	0.865621	3.0739274
