	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
0	-4.8345795	-1.618056	2.8211153	-0.9699592	-0.0032382912	1.1792172	-3.4077265	3.5813591	0.10323703	0.036385186	1.6441061	-2.219124	-0.27156785	-0.644525	3.4324434	-0.8366402	0.3004468	3.410282	-1.3383151	1.9461939	-0.71147716	-0.3234026	3.2022853	-0.72963244	-0.012481578	-2.8437245	0.9001099	-0.9221167	-0.58983487	0.21388307	3.174198	2.466813
1	3.4923902	-1.2882708	3.7470875	-0.08851544	2.3099205	0.5047	3.538651	2.4751441	2.407575	-0.6570166	1.8611162	2.4682891	0.74245536	1.111964	-0.26180446	-1.6148914	0.7398167	-0.73924387	1.6196092	2.4307685	2.2443776	2.8902497	-0.099405505	0.8306794	2.341198	-1.6624649	-1.5627923	2.3381398	-0.676451	1.4599215	0.68244225	-0.4680074
2	-0.021890422	1.7791321	-1.7194879	-0.40855688	-1.0074372	-2.5379574	3.4988458	-0.11167442	3.189706	2.5606177	2.849232	1.0459987	1.3199413	-0.08311575	2.0102313	0.58211845	-0.72893035	3.9454885	-2.363846	-0.94064504	-2.37167	-0.8954273	2.4062014	3.0314822	1.5597354	-2.6383119	2.689574	-3.1346383	-1.3235486	0.6260201	3.8258514	2.255357
3	-1.0339551	-3.294395	2.1891918	-1.4332426	-0.0013209897	0.4166007	4.332887	3.7871058	4.1811976	0.7576792	2.8326874	0.5979954	0.73061734	1.2031139	2.1634588	3.0621681	1.0849026	1.604689	5.098291	2.155527	1.2498196	-0.9316818	2.0609682	-0.7670719	-0.8539352	-1.2209612	-1.0851187	-0.7398114	-3.5053184	2.1387496	-1.4014398	-2.2133498
4	-0.56645083	4.021595	0.9610802	2.7236485	-1.941124	2.1691785	0.069497764	0.016668426	0.23935078	-1.8328785	-2.9051416	1.4052066	-1.7037462	-0.4810587	-1.1009502	2.4922073	-3.6083724	1.2816032	3.491728	-0.31155074	-0.9577565	0.9296033	-2.0719478	0.81751996	2.3836608	1.8133111	-2.056619	-1.0076268	3.6278212	-2.1097577	2.1031237	4.414132
5	0.16439754	2.1596816	3.318066	2.7466033	1.2389069	2.9719777	3.0810592	0.871248	2.0193167	0.43733653	1.0459359	0.32227066	1.6832793	0.62799764	0.74562377	0.19177188	-3.5506363	0.41953588	2.9811854	0.52076787	-0.9484676	0.6865919	0.015408137	0.9837121	4.7302513	0.011543258	0.27806133	0.6215773	0.94009453	-0.8614944	0.8233244	3.574637
6	3.9013882	-1.068379	3.9459918	-1.3129134	1.9714333	0.47713593	-0.8375166	3.01817	-1.983106	-1.2684705	-1.6333708	-1.443133	0.104238	2.0449204	-3.361014	-3.569845	-1.5677518	1.9345096	-1.7069461	-2.5324605	2.8706408	-1.7781562	-1.0822486	-1.4627239	1.6224071	-3.186128	-1.8375565	-0.3976849	2.3657336	1.3739848	-1.7592908	-0.7214724
7	1.5298724	-2.2805326	4.0913815	-1.3974099	-2.2077835	0.82928383	-1.4048982	3.9583519	2.6144447	0.13846897	-1.1503198	-2.8529046	-1.9787344	2.471279	-4.3356743	-0.92005855	0.03382595	-0.22949882	2.8858154	-0.5881552	3.9986632	-1.7419472	-1.819908	-2.8690257	2.1407068	-3.139549	-1.6677103	-0.7593005	-1.3607284	-2.8569517	-1.2020613	-1.8243904
8	-2.9096453	-1.131502	4.389908	-0.36349195	-1.517688	1.2247255	0.45933086	3.8951404	-0.39059404	0.61300796	0.12380582	0.124355905	0.1709976	1.70842	0.6723696	1.8425432	-2.2398062	2.3334165	4.6712594	-2.4016886	-1.0231762	-3.6719024	0.2869232	-3.2253132	1.2267321	0.40695986	0.541491	-5.390665	-2.344581	0.50399214	-3.818305	-0.96637785
9	-2.2073965	-3.49212	0.26485375	-1.391973	0.17470676	-0.3231141	1.6894177	2.2695181	4.395244	1.2435255	0.5475361	-2.1934686	1.2368636	-0.084725	-2.3910902	0.24912359	1.5975411	-0.050729048	2.1802323	0.050934542	-0.8536133	1.1548817	4.282212	2.6469138	0.6613261	-0.94051087	2.759815	-3.4569998	-4.2472095	-0.20767003	1.9830505	1.3596536
10	4.024377	2.161293	0.8536936	-0.68908507	2.3665354	-0.3281866	1.646632	-1.7887481	-0.6434261	-3.8682427	-2.6204052	2.5375295	-0.9036062	-0.77825856	2.8761947	0.51695716	2.654221	1.9120705	-1.2898456	3.4141624	0.4056159	-0.985104	-2.9678774	2.3653371	-3.3712058	0.3514571	-3.6654181	2.5870087	-0.30185336	1.434715	-2.2548316	0.33768085
11	-1.6773499	0.02927431	3.1247633	-0.03196239	-0.29233068	-2.4220645	3.9176342	2.6049807	1.1150427	1.5495363	0.7983742	4.7406363	-0.8371801	0.55545425	3.551968	2.5016408	-2.8763273	3.4499915	1.2774686	1.362518	-2.4454927	-1.6216922	1.7472074	2.8069682	0.96432185	-1.0898627	2.7277992	-4.135574	-1.4186869	3.6644278	-1.2594068	1.28513
12	-0.8821168	-0.13316642	-3.6607227	2.516091	-4.110568	-1.2921433	-0.21113744	-1.0788952	0.026763089	-0.8306023	-3.4257023	0.09282311	-1.3623506	-1.1434132	-2.3373163	2.6504896	-3.3411517	-1.3069198	1.980356	-1.9975075	-2.2064486	-1.0800858	3.1344187	0.3164888	0.56886184	2.608756	-0.3731206	-2.42145	5.094815	-1.6955557	1.2645003	-3.5098135
13	-4.950094	-3.7268841	0.37770808	-1.2390649	3.3851168	0.4805697	-2.075258	0.6823905	-2.9907732	0.34827214	0.048473272	-0.15982616	2.9093745	-3.0335202	0.9345225	0.3580303	-0.030881718	-0.6130913	3.0422282	0.35173038	-2.0385427	3.0039601	3.2116086	1.1066765	-0.6736445	3.7381282	3.141804	4.307951	-2.3973236	0.11586119	1.8909966	-0.91176957
14	-1.7148108	-0.12382022	0.96913517	-2.2714586	0.26697755	-0.9586025	-4.3323812	1.4585971	-2.406217	0.65574026	0.9842624	1.7223413	-1.3139774	-4.300133	-2.2631292	-2.631727	-1.209671	4.816096	-0.5007823	-2.958307	0.15138964	-3.5600276	-2.1835072	0.84188014	0.30845007	0.45929703	-1.8680254	-0.37184238	1.327462	-0.021322675	2.7442005	1.7264837
15	0.7496512	-0.93514705	3.5317204	-0.12742148	3.7270002	2.3077843	1.7119311	2.8910239	1.9923439	-0.39054814	0.56759685	3.52714	-0.33553806	-0.25030434	-2.5073936	2.3349638	-0.008428401	-2.4516988	3.716428	1.8961763	0.38333416	1.9340234	-1.1991882	-0.6275335	2.3707962	-1.4315213	-2.7302792	-2.0809138	-0.728501	2.5945094	0.2572067	4.777987
16	2.0185	-0.11357321	-4.093555	-0.633162	3.0039465	0.95810854	0.6605088	-0.21159633	-1.2992432	4.0460877	0.5526325	3.9474733	1.7691237	-1.4050345	1.2042483	-1.5515529	-1.0076954	0.9729499	-2.8713698	-2.392699	-0.1370999	-1.2658172	3.2451272	0.7222335	-1.3296453	1.1600425	1.7168915	1.5862749	3.1124144	3.95062	2.2593472	-3.126538
17	1.5279133	-2.0701168	4.3672233	-1.9238721	0.67534727	-0.20108308	2.6501513	3.7787018	3.110395	-0.027867531	-0.65718836	-2.9962933	1.8737279	1.5191354	-0.26445588	-0.09847596	-1.0077612	4.9303575	-0.74684113	0.1270911	2.5840445	0.11879904	-1.0975406	0.73536164	0.5061074	-0.88784444	0.02674483	5.1813025	0.27980953	-0.0040133446	1.1975914	-3.0915816
18	-1.7244925	-0.6843197	-2.436064	-2.3701618	-2.7449262	1.0324855	0.4741878	0.20219506	2.9474902	3.040471	-1.4906949	-0.49248856	0.46046355	-2.161734	-1.9415064	3.1436627	-2.5866365	1.9634584	4.0359406	-1.5092232	-1.96785	-2.3194265	-1.6977483	-0.25250462	-1.8180467	-0.20261751	-1.2663585	2.8777192	-0.1431645	-2.6400821	-1.5833741	-3.2522614
19	-0.58963275	0.95260304	3.770694	3.5797548	-0.9778119	3.6116598	0.14447606	0.7001415	-1.6208894	-0.75885516	-0.059830125	-3.1958003	-2.2661264	0.8810517	-2.5296829	-2.8478878	-3.9565246	-1.0420282	1.5030967	-0.018136268	1.6121156	1.14079	1.8994051	1.4641103	-0.5166782	-2.1864104	2.7336004	5.3308673	3.5527315	0.37379918	-3.6745627	1.6915482
20	-0.30256775	4.1313763	-3.0006945	0.27489194	-0.724107	-2.053763	0.92854685	1.5443128	-0.8832924	-2.917059	-4.1491833	3.8817549	-3.3696468	-0.4733023	-2.652271	2.7031584	-3.3468263	0.49297488	4.5449276	-2.2216196	-4.445767	-1.1356697	0.17522255	-0.270922	-2.7193823	0.9490957	1.2411523	-0.7464267	2.2189195	1.2466512	-1.9306822	-0.7172914
21	-0.68932986	3.262893	-1.2518736	3.0026004	-0.07483097	-0.3403775	0.26107222	-2.0329611	1.2366838	-0.8766563	0.08232681	-2.9980245	3.2666292	-1.731785	1.555216	2.8264368	0.30660066	2.401341	-0.39675286	-1.5844847	2.0039923	-0.4492924	-4.262488	0.01066195	1.6131223	0.93128103	-2.4626136	4.029665	3.24263	-1.9903866	0.18411025	-0.060458295
