	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
0	-0.32759243	0.013167753	-0.34851795	-0.67370737	-1.5057296	0.30909297	-0.544176	1.9864898	0.89013326	0.0037262728	-0.14245111	0.64146996	-0.8322558	-0.6476498	1.5750767	4.1424756
1	-2.743011	1.3013853	-2.4440722	-2.463739	1.1847049	-0.71583277	-0.25230047	0.27235413	0.79015434	0.9339089	0.5870852	-0.49603957	-2.4701588	-2.9351163	3.7577224	1.2065325
2	-1.917532	-0.57504076	-3.2510843	2.5850654	-2.4832556	0.8809957	-3.1447203	-2.0419395	-0.2705661	-1.1984391	-1.2482417	2.5196054	0.009052599	-1.9798611	0.49855816	-2.467112
3	-1.2049944	-1.0840087	1.7605505	0.84130657	-1.0514029	-0.4170096	-0.30156177	-0.4214899	-1.1043837	0.34450844	-3.0391426	-1.2764465	3.2308173	-1.6705409	1.9209845	-1.800454
4	-2.6100247	1.3825607	-3.9086053	2.5633621	-1.6457549	-0.5654293	-1.6748872	-0.95039314	-1.8903596	-1.6415095	0.03274117	-0.55772156	-1.2281985	0.85808766	-1.8393084	-2.7326548
5	-1.3444299	-3.9331472	3.8574748	-2.3895693	2.0424716	0.77784765	3.3269818	1.4352425	-2.271417	-1.7914498	-0.25617883	-0.42319512	-2.3820543	-1.5148189	-0.33267838	0.49286753
6	-1.104942	1.2132764	1.6669362	1.7635534	-2.6782916	0.9980933	-1.6039357	-1.0766604	1.2987517	-1.781651	-1.4034328	-3.4170732	0.89324313	-0.76219344	1.8734956	0.42454818
7	-2.2402067	-0.8907816	0.61199164	-2.6852045	0.9827563	1.2815652	2.7009072	0.9434168	-0.15663974	-0.109292544	2.5136054	-0.12628387	-2.61495	-0.35107264	0.6602909	-0.48073924
8	-0.604573	-2.1970782	-3.9851553	2.9250305	-1.3726027	0.08651322	-0.11488139	1.3783532	-0.3079265	-0.07496145	1.2224258	-0.20527807	1.3574313	0.06517936	2.7453325	-0.7975483
9	-2.6566586	-1.5538906	-2.5565412	2.4747689	0.14645603	0.72555107	-2.5306118	-3.2978036	1.4230115	-2.9951358	-0.2067954	-2.8418403	0.8055763	-1.5744591	-1.5233113	1.6808329
10	0.683983	-1.6365339	1.8369608	2.946882	1.111345	1.4306827	0.48170078	-0.65419775	0.63651514	0.1191005	0.38811475	0.337369	-2.5961578	-1.6113223	-0.028123373	4.5181313
11	0.010180761	-0.84538555	2.194788	-1.0926836	2.2373126	0.09763612	-1.1737803	-1.6544417	2.6115403	-3.4211452	0.041357197	1.8927889	1.6860597	1.5907677	-0.64645654	-3.0520096
12	0.066219084	1.9257342	0.7650686	1.4764835	0.71820796	-1.4703625	-1.9536122	-2.1422803	-1.8774391	-2.0557477	-1.2798712	-1.2658848	-0.27346	-0.8321614	-0.7027866	-1.6161138
13	0.3849163	2.2319586	-0.66890293	-2.4204402	1.1535112	0.862534	2.2330508	-0.15512176	2.5080917	0.8162793	1.8666806	-2.4452336	-0.737682	0.1107837	-2.2543063	-1.7324988
