	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127
0	-3.5278354e-06	1.518937e-05	4.1848352e-06	-2.4174597e-06	-1.2792529e-05	-4.8350244e-06	-1.249216e-05	1.4902621e-05	1.2673515e-05	1.5236242e-05	1.2034917e-05	1.2219888e-05	1.7092683e-05	5.468703e-06	1.654301e-06	1.2772915e-05	1.6410748e-05	-1.1136042e-05	-2.2764474e-05	1.6119935e-05	2.3178958e-05	-1.1199793e-05	1.2501295e-05	-1.11138015e-05	8.988409e-06	1.3684827e-05	1.5001552e-05	1.3417847e-05	-7.1174422e-06	-1.5023476e-05	3.9266024e-06	7.3608167e-06	-1.01387495e-05	1.3493004e-05	-1.8901092e-05	1.5202168e-05	-1.3307117e-05	-5.267966e-06	-1.5006595e-05	2.1761436e-05	-1.4339273e-05	1.118551e-05	-1.4693509e-05	-1.3013732e-05	1.1254512e-05	1.0208504e-05	8.665516e-06	1.43081015e-05	1.3558837e-05	9.7018265e-06	1.1328571e-05	-1.501647e-05	-1.1597095e-05	1.03508155e-05	9.678468e-06	-1.5947275e-05	-3.0515777e-05	-1.846026e-05	-1.9148172e-05	1.3113072e-05	-5.6407903e-06	-1.4374093e-05	-9.699963e-06	1.10717565e-05	-1.2169037e-05	-1.357698e-05	-1.07113265e-05	1.3273302e-05	-1.4396088e-05	2.2453607e-05	9.455363e-06	-5.8335727e-06	-1.0486266e-05	7.196786e-06	-1.5794962e-05	2.5032186e-05	-1.6331993e-05	-6.045328e-06	1.0621259e-05	1.741124e-05	-1.77474e-05	1.5740496e-05	1.2452579e-05	1.3197242e-05	6.9745356e-06	-1.2967651e-05	-1.02409385e-05	1.9316441e-05	1.7442466e-05	-1.51166505e-05	-4.4164076e-06	-3.7707375e-06	1.6347527e-06	-7.885832e-06	-1.0761636e-05	6.464116e-06	-1.4148491e-05	1.5819514e-05	-1.4326752e-05	-9.541177e-06	1.38667665e-05	2.1222308e-05	1.2959599e-05	-4.6014784e-06	-7.669683e-06	1.6396174e-05	-8.166306e-06	1.218279e-05	-1.7921235e-05	-6.197416e-06	-1.2906291e-05	9.241822e-06	2.6068992e-05	1.2600732e-05	-1.0667294e-05	8.7663975e-06	1.759979e-05	9.776775e-06	-7.76416e-06	-1.1442085e-05	1.2040192e-05	1.1296899e-05	-9.821583e-06	2.1209705e-06	-1.5057657e-05	-1.3188657e-05	-6.674378e-06	2.5865977e-05
1	-7.5545627e-06	1.9556326e-05	8.041382e-06	-5.1442094e-06	-1.0646648e-05	-7.402749e-06	-8.861355e-06	1.0639335e-05	1.03134125e-05	1.3740073e-05	9.679986e-06	1.0718224e-05	1.2921833e-05	8.368382e-06	4.0568057e-06	1.1790565e-05	1.3402057e-05	-9.136126e-06	-1.9267594e-05	1.3374458e-05	1.819718e-05	-9.992596e-06	9.382438e-06	-7.755526e-06	7.4191166e-06	1.09136e-05	1.1173443e-05	1.1487006e-05	-1.232914e-05	-1.3782133e-05	5.0382405e-06	9.155899e-06	-9.559417e-06	1.1830366e-05	-2.0500815e-05	1.6098937e-05	-1.02314e-05	-6.2574904e-06	-1.4453884e-05	1.9523173e-05	-8.7844255e-06	1.0821288e-05	-1.5880016e-05	-8.782901e-06	1.080813e-05	1.1222263e-05	8.99255e-06	1.243259e-05	8.557129e-06	6.6262382e-06	8.661222e-06	-1.5092522e-05	-9.138973e-06	8.642445e-06	1.2175719e-05	-1.2918742e-05	-3.410306e-05	-1.4854984e-05	-1.2931824e-05	1.3014025e-05	-9.098178e-06	-1.1558232e-05	-9.9507115e-06	1.1160598e-05	-1.11858735e-05	-1.060869e-05	-1.0459148e-05	1.6364416e-05	-1.219806e-05	2.2607152e-05	8.124514e-06	-1.1555207e-05	-1.0865645e-05	1.0908497e-05	-1.1775209e-05	2.1145415e-05	-1.7744298e-05	-7.593581e-06	8.493903e-06	1.943448e-05	-1.2788411e-05	1.50771175e-05	1.114709e-05	9.552956e-06	1.2849319e-05	-1.0109295e-05	-1.3270771e-05	2.3028144e-05	1.3401569e-05	-1.0425351e-05	-8.598441e-06	-3.985515e-06	1.448875e-06	-8.805308e-06	-8.758538e-06	9.714212e-06	-1.2772879e-05	1.3715662e-05	-1.3522931e-05	-7.845863e-06	1.081462e-05	1.7121181e-05	9.29554e-06	-4.869545e-06	-9.315326e-06	1.1146116e-05	-1.2995985e-05	1.3280898e-05	-1.3840469e-05	-4.914905e-06	-1.2510941e-05	9.231508e-06	2.5748966e-05	1.0524865e-05	-9.16662e-06	1.1208256e-05	1.4132073e-05	8.239302e-06	-9.284902e-06	-1.1893072e-05	9.352571e-06	9.012247e-06	-8.98299e-06	4.230839e-06	-1.2685651e-05	-1.0742716e-05	-6.5751187e-06	2.443374e-05
2	-4.9903365e-06	1.4993501e-05	4.1782773e-06	-2.1003996e-06	-1.0934523e-05	-5.5119667e-06	-1.15868725e-05	1.335228e-05	1.272842e-05	1.3139555e-05	1.3408094e-05	1.0794909e-05	1.4568952e-05	4.6398013e-06	5.601429e-06	1.167e-05	1.463721e-05	-1.0324639e-05	-1.7221933e-05	1.4347741e-05	1.9947447e-05	-1.0257654e-05	1.0364243e-05	-1.0957456e-05	7.4394766e-06	1.264138e-05	1.2860443e-05	1.0849692e-05	-7.229251e-06	-1.4402653e-05	3.799248e-06	7.649017e-06	-8.755778e-06	1.1924115e-05	-2.0740645e-05	1.2487032e-05	-1.15298035e-05	-6.448948e-06	-1.1242402e-05	1.7863023e-05	-1.2249343e-05	9.516027e-06	-1.3716659e-05	-1.6864533e-05	1.0381577e-05	9.182077e-06	8.445308e-06	1.4121444e-05	1.2821428e-05	8.425915e-06	9.772867e-06	-1.0343201e-05	-9.959952e-06	9.14114e-06	6.2452937e-06	-1.6234826e-05	-2.609473e-05	-1.4430737e-05	-1.6736365e-05	1.3443392e-05	-6.3191137e-06	-1.2287687e-05	-8.307038e-06	6.9635657e-06	-9.522913e-06	-1.2522555e-05	-8.9508885e-06	1.0709591e-05	-1.2377004e-05	1.8671815e-05	7.904382e-06	-6.1652163e-06	-9.549366e-06	6.696417e-06	-1.2615194e-05	2.0300222e-05	-1.5002947e-05	-4.997577e-06	9.376063e-06	1.3105822e-05	-1.530477e-05	1.5590918e-05	1.1297957e-05	1.0950256e-05	5.0806457e-06	-1.1713399e-05	-9.531155e-06	1.4732236e-05	1.5511881e-05	-1.3620139e-05	-4.328281e-06	-7.1174954e-06	1.4810543e-06	-6.925774e-06	-9.131174e-06	7.879189e-06	-1.2226059e-05	1.42786075e-05	-1.1123994e-05	-8.941635e-06	1.2116592e-05	1.9675874e-05	1.1530875e-05	-3.6082479e-06	-8.012203e-06	1.4707824e-05	-7.4642858e-06	8.958753e-06	-1.5673751e-05	-4.8648935e-06	-4.8841034e-06	7.342541e-06	1.9352417e-05	1.3874081e-05	-9.043264e-06	9.170473e-06	1.3817941e-05	9.5521755e-06	-6.6445814e-06	-9.950839e-06	9.707211e-06	1.2468139e-05	-8.840545e-06	7.944522e-06	-1.2553819e-05	-1.150881e-05	-6.241191e-06	2.2676611e-05
3	-3.82358e-06	1.6087752e-05	8.988896e-07	-2.9182404e-06	-8.136435e-06	-1.9850168e-06	-1.4034172e-06	6.3222888e-06	2.4871647e-06	8.529404e-06	2.3026205e-06	4.9717437e-06	1.0845426e-05	4.7565113e-06	-2.3502141e-06	5.2799724e-06	8.167239e-06	-4.7132507e-06	-2.0976355e-05	1.288868e-05	1.7209359e-05	-2.5417492e-06	5.8778846e-06	-3.3458075e-06	5.240212e-06	3.5545784e-06	5.5277574e-06	1.5388516e-05	-2.3331263e-06	-5.210117e-06	3.663904e-06	9.165198e-07	-6.3349016e-06	5.9747813e-06	-2.6239439e-05	1.5578633e-05	-6.8808467e-06	-1.4447713e-06	-1.451123e-05	1.8983535e-05	-2.896911e-06	8.192549e-06	-5.926633e-06	1.952418e-06	1.117358e-05	4.1043363e-06	2.9125574e-06	3.704528e-06	1.3131648e-07	4.61906e-06	6.50161e-06	-1.51889435e-05	-5.2883597e-06	5.982415e-06	1.3718891e-05	-4.6689172e-07	-3.8581755e-05	-1.4472622e-05	-9.147578e-06	5.5928604e-06	1.6711031e-06	-8.779306e-06	-1.3611297e-05	1.9126815e-05	-7.0389083e-06	-7.1037443e-06	-9.347683e-06	1.0142577e-05	-6.8404274e-06	2.4584424e-05	6.6511184e-06	-4.5887264e-06	-4.326149e-06	8.330785e-06	-6.4692967e-06	1.8676561e-05	-1.2054777e-05	-5.3707927e-06	6.975707e-06	1.4686991e-05	-9.625691e-06	7.3141696e-06	5.660635e-06	7.910535e-06	1.9756068e-05	-5.3652175e-06	-5.9460517e-06	2.5729309e-05	8.8550905e-06	-8.220429e-06	-1.6283261e-06	6.2685513e-06	1.4599929e-06	-3.956614e-06	-5.9758245e-06	1.80992e-06	-4.2913457e-06	4.463109e-06	-8.789314e-06	-4.056916e-06	5.3930166e-06	1.5047818e-05	2.1755777e-06	-4.904902e-06	-1.7650827e-06	7.442415e-06	-4.9060004e-06	1.3710356e-05	-1.1698959e-05	-3.7822367e-06	-2.4301842e-05	-1.2741757e-06	2.6209367e-05	7.092218e-07	-8.038548e-06	9.2367645e-07	1.3188254e-05	1.5056045e-06	-6.954661e-06	-3.1542536e-06	5.793573e-06	4.3382553e-07	-2.954018e-06	-3.2632997e-06	-1.174713e-05	-5.2381847e-06	-6.4842848e-06	3.580723e-05
4	-1.3896419e-05	-2.899163e-06	1.3326486e-05	-1.367204e-07	-1.5719897e-06	-1.1825088e-05	-1.4853898e-05	7.0656874e-06	1.8176803e-05	2.8467803e-06	1.9477508e-05	1.0481678e-05	1.6289737e-06	9.83987e-06	2.2256338e-05	1.3161062e-05	4.4151025e-06	-5.6441354e-06	3.069067e-05	8.0856563e-07	-1.4199356e-06	-9.028619e-06	1.1121946e-06	-8.51533e-06	8.7056213e-07	1.5506048e-05	9.621646e-06	-2.5452755e-05	-1.12589905e-05	-1.6265789e-05	-4.2070537e-06	1.4465706e-05	4.431544e-06	7.3331007e-06	2.113507e-05	-7.09043e-07	-6.8140926e-06	-7.673896e-06	7.652364e-06	-1.0727192e-05	-1.3165818e-05	1.0002116e-06	-1.3586579e-05	-2.5359423e-05	-5.0762874e-06	7.913618e-06	1.1572123e-05	1.2718002e-05	1.6525675e-05	1.4274076e-06	2.041564e-06	1.8888404e-05	-4.24148e-06	1.5573063e-06	-1.9590843e-05	-2.196001e-05	3.985597e-05	1.6815373e-07	3.0042575e-06	1.4554926e-05	-1.7994318e-05	3.244347e-06	1.2610053e-05	-4.0576142e-05	-3.2037583e-06	-5.760066e-06	3.2552844e-06	9.222274e-06	-1.1446401e-05	-1.6116292e-05	-1.6711454e-06	-1.7670363e-05	-6.9523544e-06	5.896563e-06	-4.82762e-06	-6.5415293e-06	1.390501e-05	-2.4223168e-06	8.544044e-07	-9.142345e-06	-7.00352e-06	1.0134452e-05	1.2328615e-05	-2.304958e-06	-3.4277124e-05	-9.432904e-06	-9.640756e-06	-2.5826324e-05	9.429101e-06	-5.6150484e-06	-1.33801195e-05	-2.9726325e-05	-2.5025162e-07	-3.4693894e-06	2.8424697e-07	1.3989109e-05	-8.607929e-06	1.5686413e-05	-2.0561195e-06	-6.5083887e-06	9.751545e-06	1.4989681e-06	7.4231884e-06	3.8017042e-06	-1.8681501e-05	5.8841533e-06	-9.594548e-06	-8.492067e-06	-2.581768e-06	8.881686e-07	5.0800227e-05	8.781983e-06	-2.3484672e-05	1.9487037e-05	1.0506877e-06	1.97818e-05	-3.943393e-06	1.0874784e-05	-3.1355384e-08	-8.225295e-06	5.7621482e-06	1.923427e-05	-3.2829175e-06	2.7437152e-05	3.0648453e-06	-7.482213e-06	4.481097e-07	-5.1283652e-05
5	-5.543387e-06	4.5018637e-06	6.6077105e-06	1.9415988e-07	-1.0926825e-05	-4.0669865e-06	-1.676681e-05	1.70202e-05	1.8141593e-05	1.42924e-05	1.8299483e-05	1.3548307e-05	1.781286e-05	5.4078855e-06	7.5155103e-06	1.329512e-05	1.4564811e-05	-9.802237e-06	-7.903649e-06	1.5037247e-05	1.943371e-05	-1.1581128e-05	1.1539845e-05	-1.3432241e-05	7.854813e-06	1.7768101e-05	1.8960865e-05	-5.3243696e-07	-5.7415596e-06	-2.049598e-05	-4.124598e-07	1.0854598e-05	-5.9465065e-06	1.2349266e-05	-3.568033e-06	8.207652e-06	-1.4511969e-05	-6.3716197e-06	-1.0571886e-05	1.5070012e-05	-1.8099201e-05	9.76741e-06	-1.6447944e-05	-2.2938477e-05	6.8197282e-06	1.15241655e-05	8.29816e-06	1.5904363e-05	2.0586163e-05	9.448146e-06	1.1358701e-05	-2.35476e-06	-9.777844e-06	8.797356e-06	-1.6645259e-06	-2.0103247e-05	-5.008069e-07	-1.5872438e-05	-1.7117443e-05	1.35141e-05	-6.260305e-06	-1.2927434e-05	-3.871822e-06	-5.08099e-06	-1.0780915e-05	-1.4001905e-05	-6.278594e-06	1.5624792e-05	-1.658892e-05	1.5997986e-05	7.301665e-06	-7.0039296e-06	-8.720034e-06	1.7767129e-06	-1.4208363e-05	2.0337508e-05	-6.9108464e-06	-3.1530553e-06	9.225909e-06	3.9421066e-06	-1.9111307e-05	1.5276468e-05	1.6045757e-05	1.3760954e-05	-1.0689438e-05	-1.5638041e-05	-6.2062427e-06	1.5227324e-06	1.9417506e-05	-1.7368777e-05	-4.2876436e-06	-1.4926141e-05	1.1993642e-06	-4.978509e-06	-9.035221e-06	6.487023e-06	-1.42983745e-05	2.239273e-05	-7.0429605e-06	-1.0140062e-05	1.6548322e-05	1.8466213e-05	1.16481715e-05	-1.7357664e-06	-1.2615917e-05	1.8072751e-05	-3.9468887e-06	9.936582e-06	-1.6691854e-05	-5.080727e-06	7.870563e-06	3.7119269e-06	1.1795258e-05	1.8699207e-05	-8.129528e-06	1.2907314e-05	1.4731582e-05	1.3556784e-05	-5.4540856e-06	-6.554372e-06	1.3442614e-05	1.7430144e-05	-8.177989e-06	1.2493982e-05	-1.275386e-05	-1.4073474e-05	-5.248624e-06	3.985613e-06
6	-5.0033827e-06	1.4236877e-05	2.859285e-06	-8.9750426e-07	-6.312956e-06	-6.380715e-06	-7.841165e-06	9.495979e-06	9.8284445e-06	7.6304195e-06	1.1440332e-05	6.4603955e-06	7.295751e-06	2.455417e-06	1.1312758e-05	7.0346014e-06	9.116022e-06	-7.762955e-06	-8.109592e-06	9.673822e-06	1.202224e-05	-6.23878e-06	4.898425e-06	-9.164803e-06	3.5192722e-06	8.539996e-06	7.6208757e-06	7.214235e-06	-6.2257286e-06	-1.1644354e-05	3.0898293e-06	6.1950623e-06	-4.7126823e-06	6.7471497e-06	-2.1114432e-05	8.677491e-06	-6.883293e-06	-7.218603e-06	-3.5057462e-06	8.940328e-06	-5.823135e-06	5.3422614e-06	-8.530637e-06	-1.899812e-05	8.3163795e-06	4.8468114e-06	6.2577665e-06	1.0570954e-05	7.893782e-06	4.9248456e-06	5.666293e-06	-1.8028062e-06	-5.652367e-06	6.1650017e-06	4.9994345e-08	-1.4862241e-05	-2.0019472e-05	-6.384619e-06	-1.0821588e-05	1.1667751e-05	-6.826755e-06	-6.64079e-06	-4.750306e-06	-8.7912474e-07	-3.8849084e-06	-8.966973e-06	-5.011256e-06	3.282425e-06	-7.2690646e-06	1.1156575e-05	4.1226117e-06	-5.9239082e-06	-6.4822757e-06	3.7598143e-06	-4.8504016e-06	1.0578777e-05	-1.014274e-05	-2.8112504e-06	6.292814e-06	6.4560704e-06	-8.867263e-06	1.2486261e-05	7.5473217e-06	6.019157e-06	3.2545363e-06	-7.1268696e-06	-7.390519e-06	6.9502294e-06	9.6867825e-06	-8.617308e-06	-5.6430913e-06	-9.6272415e-06	1.1823023e-06	-4.9989576e-06	-5.2766613e-06	8.678626e-06	-6.69271e-06	8.417219e-06	-5.2723713e-06	-6.627638e-06	6.6300154e-06	1.4366946e-05	6.531655e-06	-1.683272e-06	-6.2094427e-06	9.7132e-06	-6.613285e-06	3.7071661e-06	-9.830522e-06	-2.0526654e-06	6.430116e-06	3.674628e-06	6.047248e-06	1.2940858e-05	-5.337914e-06	7.143273e-06	5.1454494e-06	6.6601133e-06	-3.5141388e-06	-6.616054e-06	3.663046e-06	1.0099569e-05	-6.4134983e-06	1.6117523e-05	-6.4079513e-06	-6.171071e-06	-5.150866e-06	1.35372775e-05
7	-5.047794e-06	1.1113711e-05	4.0244395e-06	-3.6380673e-08	-7.725314e-06	-5.8355486e-06	-1.0547748e-05	1.2231561e-05	1.2479612e-05	9.690558e-06	1.45663835e-05	8.4801995e-06	1.111832e-05	3.3105384e-06	1.0783605e-05	8.972397e-06	1.1054604e-05	-8.187409e-06	-8.817006e-06	1.1850941e-05	1.5176268e-05	-7.676221e-06	6.8871514e-06	-1.0815327e-05	4.940214e-06	1.1433363e-05	1.12002635e-05	4.3431046e-06	-5.9642457e-06	-1.4761899e-05	1.9658182e-06	7.2907956e-06	-4.9290193e-06	8.35664e-06	-1.6246464e-05	8.944539e-06	-9.459993e-06	-7.099087e-06	-6.0397924e-06	1.1954906e-05	-9.72109e-06	6.542375e-06	-1.0866419e-05	-2.0681304e-05	8.01313e-06	6.604385e-06	7.2593734e-06	1.2315577e-05	1.137319e-05	6.6166826e-06	7.660663e-06	-1.677075e-06	-6.9779803e-06	7.1335985e-06	-5.618499e-07	-1.643493e-05	-1.5538804e-05	-1.0015692e-05	-1.3479465e-05	1.2032347e-05	-6.76019e-06	-8.884258e-06	-4.4448707e-06	-2.1784197e-06	-5.9270155e-06	-1.0898798e-05	-5.5944906e-06	6.629371e-06	-1.03836655e-05	1.3754928e-05	5.208893e-06	-6.205059e-06	-7.0596807e-06	2.574333e-06	-7.76145e-06	1.4191337e-05	-8.447262e-06	-2.7616188e-06	7.3900346e-06	5.0538542e-06	-1.2517749e-05	1.3199671e-05	1.058895e-05	9.180038e-06	-1.3192617e-06	-9.905539e-06	-6.263121e-06	5.132957e-06	1.2946607e-05	-1.1586828e-05	-5.6122835e-06	-1.17899135e-05	1.2165368e-06	-4.803469e-06	-6.579779e-06	8.16448e-06	-9.119725e-06	1.2833456e-05	-5.614008e-06	-7.844936e-06	9.727224e-06	1.6033904e-05	7.889372e-06	-1.762757e-06	-8.257525e-06	1.2539633e-05	-5.89614e-06	6.538781e-06	-1.2549333e-05	-3.11475e-06	7.6284405e-06	2.5320614e-06	7.770128e-06	1.4848372e-05	-6.3879925e-06	8.874108e-06	8.7457565e-06	8.948188e-06	-3.8393396e-06	-5.792404e-06	6.8366e-06	1.2303452e-05	-7.0921424e-06	1.5707108e-05	-9.049592e-06	-8.616003e-06	-5.526788e-06	1.04220135e-05
8	-2.9985315e-06	6.3444e-06	2.6984274e-06	5.5290105e-08	-1.1447151e-05	-1.6239416e-06	-1.3362804e-05	1.5571919e-05	1.3223321e-05	1.3896573e-05	1.2497408e-05	1.17768e-05	1.6056034e-05	3.2685236e-06	3.0776168e-06	1.1594761e-05	1.4673285e-05	-9.6759495e-06	-1.7320426e-05	1.4544996e-05	2.0259853e-05	-9.833462e-06	1.2300472e-05	-1.1505716e-05	8.030429e-06	1.39142e-05	1.6423775e-05	7.1056816e-06	-3.3473086e-06	-1.5470998e-05	1.2774943e-06	6.834165e-06	-7.140825e-06	1.1760341e-05	-1.0111e-05	1.1153206e-05	-1.3405773e-05	-3.9764836e-06	-1.2279711e-05	1.769866e-05	-1.6408114e-05	9.595434e-06	-1.2495153e-05	-1.5203309e-05	9.163262e-06	9.052071e-06	7.0106917e-06	1.3238565e-05	1.6431839e-05	9.4597835e-06	1.111254e-05	-8.48066e-06	-9.962211e-06	9.239108e-06	3.6298736e-06	-1.510814e-05	-1.3923845e-05	-1.6312686e-05	-1.8459461e-05	9.998253e-06	-2.9937626e-06	-1.388115e-05	-7.242485e-06	4.9419746e-06	-1.0591709e-05	-1.32802725e-05	-7.850012e-06	1.1911494e-05	-1.4641513e-05	1.7360966e-05	7.934877e-06	-2.5251175e-06	-7.817016e-06	1.991568e-06	-1.48667195e-05	2.131424e-05	-1.058672e-05	-3.5538646e-06	9.721739e-06	8.828847e-06	-1.8228993e-05	1.2526495e-05	1.2505344e-05	1.2287847e-05	-2.2821623e-06	-1.3641363e-05	-5.58005e-06	7.856218e-06	1.7998264e-05	-1.5981399e-05	-5.390263e-07	-6.3525954e-06	1.3649671e-06	-4.7515273e-06	-9.655707e-06	2.8576587e-06	-1.2791922e-05	1.7557184e-05	-9.13432e-06	-9.142405e-06	1.3996188e-05	1.9177534e-05	1.0833614e-05	-2.9905705e-06	-8.027772e-06	1.7024096e-05	-2.2845463e-06	1.076487e-05	-1.6633963e-05	-5.4974034e-06	-4.8525053e-06	3.5987998e-06	1.7627175e-05	1.3444521e-05	-9.092769e-06	7.4896666e-06	1.5771726e-05	1.0236064e-05	-5.799557e-06	-6.456427e-06	1.2012412e-05	1.2311831e-05	-7.3289375e-06	2.9379198e-06	-1.3609217e-05	-1.2781658e-05	-5.4729157e-06	1.8053042e-05
9	-1.1541431e-05	2.0180112e-05	9.512431e-06	-6.229289e-06	-7.2998973e-06	-8.057081e-06	-5.3277377e-06	4.38643e-06	7.4442287e-06	1.11005675e-05	7.996033e-06	7.4537284e-06	7.817583e-06	9.538305e-06	4.3911273e-06	8.749155e-06	8.5480215e-06	-6.061541e-06	-1.7067152e-05	1.0717405e-05	1.6484157e-05	-6.636658e-06	4.7368508e-06	-3.3967438e-06	4.905205e-06	6.1835617e-06	6.1019264e-06	6.798182e-06	-1.1626705e-05	-1.04035835e-05	5.9607214e-06	8.028007e-06	-7.73897e-06	9.401811e-06	-2.5063395e-05	1.3119808e-05	-5.9298336e-06	-4.5687448e-06	-1.1797635e-05	1.840134e-05	-4.1116623e-06	8.555707e-06	-1.5526384e-05	-3.2101595e-06	9.85621e-06	9.163538e-06	7.0595793e-06	8.869348e-06	3.2365506e-06	3.0897115e-06	5.0360063e-06	-1.5153439e-05	-6.0603998e-06	5.2003656e-06	1.30277995e-05	-7.116066e-06	-3.2221415e-05	-1.1599581e-05	-9.560297e-06	1.2793214e-05	-6.7595392e-06	-8.390368e-06	-7.563225e-06	1.13533515e-05	-9.356848e-06	-7.1407935e-06	-9.072589e-06	1.7632292e-05	-8.480232e-06	2.3385142e-05	6.186784e-06	-1.23245745e-05	-9.058402e-06	1.845922e-05	-6.7280644e-06	1.6389256e-05	-1.5992582e-05	-8.006959e-06	6.2782483e-06	1.8358904e-05	-7.6286706e-06	1.2270491e-05	8.687424e-06	7.104386e-06	1.6769656e-05	-6.0382413e-06	-1.168768e-05	2.3964143e-05	8.250201e-06	-5.597822e-06	-9.822934e-06	-1.1547826e-06	1.3194233e-06	-7.5973676e-06	-5.251507e-06	9.656795e-06	-9.448725e-06	7.503916e-06	-1.1926309e-05	-5.7362618e-06	6.0620287e-06	1.2646662e-05	4.944643e-06	-4.7519634e-06	-8.956346e-06	4.9666824e-06	-1.2986145e-05	1.33105605e-05	-1.0522941e-05	-3.172557e-06	-1.1789397e-05	7.667524e-06	2.1659622e-05	5.4566735e-06	-7.0473097e-06	9.922008e-06	1.0420582e-05	6.490073e-06	-8.23395e-06	-9.148036e-06	6.2573918e-06	6.47593e-06	-5.6342733e-06	5.1253737e-06	-9.832702e-06	-5.797278e-06	-6.025738e-06	2.3129169e-05
